county,id,sh_usfr_within_50miles,sh_usfr_within_100miles,sh_usfr_within_500miles
01001,0,0.57,0.69,0.87
01003,1,0.53,0.57,0.83
01005,2,0.59,0.71,0.9
01007,3,0.75,0.8,0.92
01009,4,0.75,0.8,0.92
01011,5,0.68,0.76,0.91
01013,6,0.68,0.76,0.91
01015,7,0.64,0.77,0.91
01017,8,0.71,0.81,0.93
01019,9,0.73,0.83,0.93
01021,10,0.69,0.79,0.92
01023,11,0.57,0.72,0.91
01025,12,0.53,0.69,0.92
01027,13,0.68,0.81,0.93
01029,14,0.73,0.83,0.94
01031,15,0.53,0.6,0.81
01033,16,0.67,0.79,0.92
01035,17,0.55,0.72,0.89
01037,18,0.61,0.78,0.91
01039,19,0.63,0.74,0.91
01041,20,0.68,0.78,0.92
01043,21,0.73,0.79,0.91
01045,22,0.53,0.6,0.8
01047,23,0.54,0.75,0.91
01049,24,0.72,0.81,0.93
01051,25,0.63,0.73,0.89
01053,26,0.65,0.75,0.91
01055,27,0.68,0.79,0.92
01057,28,0.7,0.8,0.92
01059,29,0.69,0.8,0.92
01061,30,0.68,0.74,0.9
01063,31,0.67,0.77,0.91
01065,32,0.68,0.77,0.91
01067,33,0.65,0.73,0.91
01069,34,0.58,0.68,0.88
01071,35,0.71,0.81,0.93
01073,36,0.65,0.7,0.89
01075,37,0.72,0.8,0.93
01077,38,0.62,0.73,0.92
01079,39,0.79,0.84,0.94
01081,40,0.45,0.57,0.86
01083,41,0.65,0.72,0.89
01085,42,0.74,0.81,0.92
01087,43,0.57,0.63,0.85
01089,44,0.52,0.61,0.84
01091,45,0.48,0.66,0.9
01093,46,0.66,0.79,0.93
01095,47,0.69,0.78,0.91
01097,48,0.66,0.7,0.88
01099,49,0.55,0.74,0.92
01101,50,0.6,0.68,0.88
01103,51,0.65,0.76,0.9
01105,52,0.6,0.73,0.89
01107,53,0.7,0.78,0.92
01109,54,0.5,0.63,0.9
01111,55,0.71,0.81,0.93
01113,56,0.56,0.63,0.84
01115,57,0.69,0.76,0.91
01117,58,0.56,0.65,0.87
01119,59,0.39,0.6,0.9
01121,60,0.71,0.79,0.92
01123,61,0.66,0.79,0.93
01125,62,0.56,0.62,0.85
01127,63,0.72,0.8,0.92
01129,64,0.71,0.79,0.93
01131,65,0.53,0.7,0.91
01133,66,0.72,0.82,0.93
02013,67,0.25,0.25,0.28
02016,68,0.2,0.2,0.2
02020,69,0.34,0.37,0.43
02050,70,0.49,0.5,0.83
02060,71,0.22,0.24,0.47
02068,72,0.12,0.12,0.4
02070,73,0.35,0.41,0.71
02090,74,0.27,0.27,0.37
02100,75,0.26,0.34,0.4
02105,76,0.42,0.45,0.49
02110,77,0.36,0.38,0.41
02122,78,0.31,0.31,0.47
02130,79,0.39,0.42,0.46
02150,80,0.32,0.32,0.45
02158,81,0.43,0.43,0.85
